ID;City_id;date;passport_id;name_company;phone_number;quantity
34;9;22.01.2024 ДҮЙСЕНБІ;5396741820;ИП Таң Атқан;77033333333;60
35;8;22.01.2024 ДҮЙСЕНБІ;6120394875;ИП Жетісу Земли;77744444444;20
36;9;29.01.2024 ДҮЙСЕНБІ;2984160375;ИП Салт Дәстүр;77012345678;30
37;7;08.01.2024 ДҮЙСЕНБІ;4017962835;ИП Қарағай Лес;77798765432;30
38;8;15.01.2024 ДҮЙСЕНБІ;3764920185;ИП Алатау Горы;77023456789;15
39;6;15.01.2024 ДУЙСЕНИ;2843759610;ИП Балқаш Берега;77734567890;15
40;1;15.01.2024 ДҮЙСЕНБІ;5398102746;ИП Терек Дерево;77045678901;45
41;7;22.01.2024 ДҮЙСЕНБІ;6349825701;ИП Шыны Душа;77756789012;60
42;9;22.01.2024 ДҮЙСЕНБІ;1859742360;ИП Қызғалдақ Тюльпан;77098765432;20
43;4;29.01.2024 ДҮЙСЕНБІ;2671439850;ИП Жұлдыз Звезда;77787654321;30
44;8;22.01.2024 ДҮЙСЕНБІ;3965812740;ИП Көкшетау Вершина;77022222222;20
45;5;29.01.2024 ДҮЙСЕНБІ;8241596730;ИП Наурыз Весна;77733333333;30
46;6;08.01.2024 ДҮЙСЕНБІ;3594810726;ИП Тобыл Город;77033333333;30
47;8;15.01.2024 ДҮЙСЕНБІ;4712950863;ИП Ертіс Река;77744444444;15
48;4;15.01.2024 ДУЙСЕНИ;2691435807;ИП Саранча Луг;77044444444;15
49;9;15.01.2024 ДҮЙСЕНБІ;5341928760;ИП Мақта Хлопок;77755555555;45
50;4;22.01.2024 ДҮЙСЕНБІ;6924813705;ИП Қос Агаш;77055555555;60
51;3;22.01.2024 ДҮЙСЕНБІ;3794651820;ИП Сағыз Дерево;77766666666;20
52;4;22.01.2024 ДҮЙСЕНБІ;8213674950;ИП Бұйра Волна;77066666666;20
53;1;29.01.2024 ДҮЙСЕНБІ;1845369720;ИП Үлкен Дорога;77777777777;30
54;8;08.01.2024 ДҮЙСЕНБІ;5924817360;ИП Ақша Деньги;77077777777;30
55;2;15.01.2024 ДҮЙСЕНБІ;1472396580;ИП Жүрек Сердце;77788888888;15
56;7;15.01.2024 ДУЙСЕНИ;4296183570;ИП Жылы Юг;77088888888;15
57;3;15.01.2024 ДҮЙСЕНБІ;8502491763;ИП Самға Скачок;77799999999;45
58;3;22.01.2024 ДҮЙСЕНБІ;7613584290;ИП Қарағай Лесной;77099999999;60
59;2;22.01.2024 ДҮЙСЕНБІ;2459367180;ИП Тамыр Корень;87771804000;20
